"source_cluster","target_cluster","time_bin","n"
"Cluster_4","Cluster_1","(-1.63,-1.3]",8
"Cluster_1","Cluster_2","(-1.63,-1.3]",14
"Cluster_2","Cluster_2","(-1.63,-1.3]",34
"Cluster_3","Cluster_2","(-1.63,-1.3]",157
"Cluster_4","Cluster_2","(-1.63,-1.3]",1
"Cluster_1","Cluster_3","(-1.63,-1.3]",224
"Cluster_2","Cluster_3","(-1.63,-1.3]",21
"Cluster_3","Cluster_3","(-1.63,-1.3]",1128
"Cluster_4","Cluster_3","(-1.63,-1.3]",2
"Cluster_1","Cluster_4","(-1.63,-1.3]",166
"Cluster_2","Cluster_4","(-1.63,-1.3]",9
"Cluster_3","Cluster_4","(-1.63,-1.3]",385
"Cluster_4","Cluster_4","(-1.63,-1.3]",29
"Cluster_1","Cluster_1","(-1.3,-0.972]",534
"Cluster_2","Cluster_1","(-1.3,-0.972]",46
"Cluster_3","Cluster_1","(-1.3,-0.972]",1008
"Cluster_4","Cluster_1","(-1.3,-0.972]",10
"Cluster_1","Cluster_2","(-1.3,-0.972]",25
"Cluster_2","Cluster_2","(-1.3,-0.972]",37
"Cluster_3","Cluster_2","(-1.3,-0.972]",114
"Cluster_4","Cluster_2","(-1.3,-0.972]",1
"Cluster_1","Cluster_3","(-1.3,-0.972]",343
"Cluster_2","Cluster_3","(-1.3,-0.972]",64
"Cluster_3","Cluster_3","(-1.3,-0.972]",1649
"Cluster_4","Cluster_3","(-1.3,-0.972]",8
"Cluster_1","Cluster_4","(-1.3,-0.972]",212
"Cluster_2","Cluster_4","(-1.3,-0.972]",28
"Cluster_3","Cluster_4","(-1.3,-0.972]",488
"Cluster_4","Cluster_4","(-1.3,-0.972]",27
"Cluster_1","Cluster_1","(-0.972,-0.644]",716
"Cluster_2","Cluster_1","(-0.972,-0.644]",59
"Cluster_3","Cluster_1","(-0.972,-0.644]",1041
"Cluster_4","Cluster_1","(-0.972,-0.644]",25
"Cluster_1","Cluster_2","(-0.972,-0.644]",50
"Cluster_2","Cluster_2","(-0.972,-0.644]",195
"Cluster_3","Cluster_2","(-0.972,-0.644]",332
"Cluster_4","Cluster_2","(-0.972,-0.644]",3
"Cluster_1","Cluster_3","(-0.972,-0.644]",470
"Cluster_2","Cluster_3","(-0.972,-0.644]",91
"Cluster_3","Cluster_3","(-0.972,-0.644]",2169
"Cluster_4","Cluster_3","(-0.972,-0.644]",15
"Cluster_1","Cluster_4","(-0.972,-0.644]",370
"Cluster_2","Cluster_4","(-0.972,-0.644]",66
"Cluster_3","Cluster_4","(-0.972,-0.644]",625
"Cluster_4","Cluster_4","(-0.972,-0.644]",55
"Cluster_1","Cluster_1","(-0.644,-0.316]",801
"Cluster_2","Cluster_1","(-0.644,-0.316]",95
"Cluster_3","Cluster_1","(-0.644,-0.316]",1505
"Cluster_4","Cluster_1","(-0.644,-0.316]",29
"Cluster_1","Cluster_2","(-0.644,-0.316]",43
"Cluster_2","Cluster_2","(-0.644,-0.316]",160
"Cluster_3","Cluster_2","(-0.644,-0.316]",339
"Cluster_4","Cluster_2","(-0.644,-0.316]",7
"Cluster_1","Cluster_3","(-0.644,-0.316]",594
"Cluster_2","Cluster_3","(-0.644,-0.316]",92
"Cluster_3","Cluster_3","(-0.644,-0.316]",2925
"Cluster_4","Cluster_3","(-0.644,-0.316]",11
"Cluster_1","Cluster_4","(-0.644,-0.316]",522
"Cluster_2","Cluster_4","(-0.644,-0.316]",79
"Cluster_3","Cluster_4","(-0.644,-0.316]",1222
"Cluster_4","Cluster_4","(-0.644,-0.316]",84
"Cluster_1","Cluster_1","(-0.316,0.0113]",780
"Cluster_2","Cluster_1","(-0.316,0.0113]",91
"Cluster_3","Cluster_1","(-0.316,0.0113]",1592
"Cluster_4","Cluster_1","(-0.316,0.0113]",31
"Cluster_1","Cluster_2","(-0.316,0.0113]",124
"Cluster_2","Cluster_2","(-0.316,0.0113]",235
"Cluster_3","Cluster_2","(-0.316,0.0113]",388
"Cluster_4","Cluster_2","(-0.316,0.0113]",8
"Cluster_1","Cluster_3","(-0.316,0.0113]",674
"Cluster_2","Cluster_3","(-0.316,0.0113]",119
"Cluster_3","Cluster_3","(-0.316,0.0113]",3506
"Cluster_4","Cluster_3","(-0.316,0.0113]",25
"Cluster_1","Cluster_4","(-0.316,0.0113]",719
"Cluster_2","Cluster_4","(-0.316,0.0113]",92
"Cluster_3","Cluster_4","(-0.316,0.0113]",1579
"Cluster_4","Cluster_4","(-0.316,0.0113]",96
"Cluster_1","Cluster_1","(0.0113,0.339]",847
"Cluster_2","Cluster_1","(0.0113,0.339]",91
"Cluster_3","Cluster_1","(0.0113,0.339]",1839
"Cluster_4","Cluster_1","(0.0113,0.339]",29
"Cluster_1","Cluster_2","(0.0113,0.339]",124
"Cluster_2","Cluster_2","(0.0113,0.339]",366
"Cluster_3","Cluster_2","(0.0113,0.339]",513
"Cluster_4","Cluster_2","(0.0113,0.339]",14
"Cluster_1","Cluster_3","(0.0113,0.339]",1103
"Cluster_2","Cluster_3","(0.0113,0.339]",174
"Cluster_3","Cluster_3","(0.0113,0.339]",5273
"Cluster_4","Cluster_3","(0.0113,0.339]",31
"Cluster_1","Cluster_4","(0.0113,0.339]",900
"Cluster_2","Cluster_4","(0.0113,0.339]",172
"Cluster_3","Cluster_4","(0.0113,0.339]",1472
"Cluster_4","Cluster_4","(0.0113,0.339]",100
"Cluster_1","Cluster_1","(0.339,0.667]",1002
"Cluster_2","Cluster_1","(0.339,0.667]",140
"Cluster_3","Cluster_1","(0.339,0.667]",2199
"Cluster_4","Cluster_1","(0.339,0.667]",41
"Cluster_1","Cluster_2","(0.339,0.667]",116
"Cluster_2","Cluster_2","(0.339,0.667]",301
"Cluster_3","Cluster_2","(0.339,0.667]",550
"Cluster_4","Cluster_2","(0.339,0.667]",6
"Cluster_1","Cluster_3","(0.339,0.667]",955
"Cluster_2","Cluster_3","(0.339,0.667]",146
"Cluster_3","Cluster_3","(0.339,0.667]",5215
"Cluster_4","Cluster_3","(0.339,0.667]",22
"Cluster_1","Cluster_4","(0.339,0.667]",1092
"Cluster_2","Cluster_4","(0.339,0.667]",254
"Cluster_3","Cluster_4","(0.339,0.667]",2251
"Cluster_4","Cluster_4","(0.339,0.667]",151
"Cluster_1","Cluster_1","(0.667,0.994]",628
"Cluster_2","Cluster_1","(0.667,0.994]",85
"Cluster_3","Cluster_1","(0.667,0.994]",1654
"Cluster_4","Cluster_1","(0.667,0.994]",16
"Cluster_1","Cluster_2","(0.667,0.994]",103
"Cluster_2","Cluster_2","(0.667,0.994]",269
"Cluster_3","Cluster_2","(0.667,0.994]",664
"Cluster_4","Cluster_2","(0.667,0.994]",12
"Cluster_1","Cluster_3","(0.667,0.994]",772
"Cluster_2","Cluster_3","(0.667,0.994]",166
"Cluster_3","Cluster_3","(0.667,0.994]",4522
"Cluster_4","Cluster_3","(0.667,0.994]",27
"Cluster_1","Cluster_4","(0.667,0.994]",853
"Cluster_2","Cluster_4","(0.667,0.994]",313
"Cluster_3","Cluster_4","(0.667,0.994]",2679
