"tweet_id","cascade_rows","size","edge_count","root_count","component_count","depth_graph","depth_field","max_breadth","avg_breadth","root_breadth","root_share","branching_mean","branching_sd","structural_virality","time_min","time_max","time_span","time_to_50pct","time_to_80pct","avg_interaction","avg_interest_similarity","avg_structural_redundancy","avg_number_exposures","total_number_exposures","mean_reciprocity","mean_retweeting_inertia","mean_followers_retweeter","mean_friends_retweeter","mean_statuses_retweeter","mean_age_retweeter","mean_followers_parent","mean_friends_parent","mean_statuses_parent","mean_age_parent","root_followers","root_friends","root_statuses","root_age","embed_1","embed_2","embed_3","embed_4","embed_5","cascade_type","shape_cluster"
"1098612205443010560",23,24,23,1,1,3,3,15,6,4,0.173913043478261,7.66666666666667,6.35085296108588,2.38405797101449,-1.14281342378159,-0.349471514440305,0.793341909341285,-1.14281342378159,-0.369569297435569,3.02765312925103,0.0354587354933562,0.115283462126118,0.0904105018121667,2.07944154167983,0.173913043478261,0.719120512558003,253584.52173913,2482.47826086957,69093.2608695652,7.30434782608696,3503096.2173913,1166.26086956522,317628.391304348,9.65217391304348,503691,480,117670,10,4.06700419610491,1.93739780488022,1.64498225355485,0.0000000000000000148514142224267,0.0000000000000000000000000000000138130103875962,"viral",2
"1098612230608703491",4,5,4,1,1,2,3,3,1.66666666666667,3,0.75,2,1.4142135623731,1.8,-1.79974040800038,-0.752193534075497,1.04754687392488,-0.752193534075497,-0.752193534075497,1.76231371031396,0.0676762818760477,0.0930654635870769,0,0,0.75,0.432698121766211,490.25,548.75,28321.25,3.25,651.5,521.5,11337.5,0.75,717,580,13352,1,1.84775906502257,0.765366864730179,0,-0.765366864730179,-1.84775906502257,"unclassified",NA
"1098612729739239424",12,13,12,1,1,1,1,12,6.5,12,1,12,0,1.84615384615385,-0.176634734508265,-0.176634734508265,0,-0.176634734508265,-0.176634734508265,2.74166001375923,0.00462630948064146,0.0339940179007919,0,0,0.25,0.566500871576215,1002.5,554.916666666667,66154.8333333333,7.16666666666667,9098,518,235715,5,9098,518,235715,5,3.46410161513775,0,0,0,0,"broadcast",1
"1098612842985607168",4,5,4,1,1,1,1,4,2.5,4,1,4,0,1.6,0.0897400628469027,0.0897400628469027,0,0.0897400628469027,0.0897400628469027,1.80196496785812,0,0.0717549363683275,0,0,0.5,0.504009337339601,3977.75,2246.5,79509.75,7.5,3253,1443,35248,6,3253,1443,35248,6,2,0,0,0,-2,"unclassified",NA
"1098614705244041218",12,13,12,1,1,1,1,12,6.5,12,1,12,0,1.84615384615385,-0.493215633929069,-0.493215633929069,0,-0.493215633929069,-0.493215633929069,2.70571995611934,0.015879079609631,0.0580442975362308,0,0,0.0833333333333333,0.814030589234198,1221.16666666667,1252,62080.25,6.83333333333333,3873,310,2745,2,3873,310,2745,2,3.46410161513775,0,0,0,0,"broadcast",1
"1098615963535228928",3,4,3,1,1,3,3,1,1,1,0.333333333333333,1,0,1.66666666666667,0.351358316310654,0.911239741630593,0.559881425319939,0.557291441369382,0.769660421526109,3.545124853804,0.288043707933538,0.299908424908425,0.231049060186648,0.693147180559945,0.666666666666667,0.607529374548639,1497.33333333333,169,8424,4.33333333333333,2519.33333333333,202.666666666667,10812,6,3094,153,7207,7,1.61803398874989,0.618033988749895,-0.618033988749895,-1.61803398874989,0,"unclassified",NA
"1098617171478044673",5,6,5,1,1,4,4,2,1.2,2,0.4,1.25,0.5,2.33333333333333,-3.14819751901078,-0.38839661957317,2.75980089943761,-0.908384927254555,-0.782318190578933,3.77541609162542,0.62079367445089,0.257233053566604,0.219722457733622,1.09861228866811,0.4,0.422518642635423,1018.4,735,31767.8,7,25494.4,604.8,54831.2,8.2,61347,437,60419,9,1.80193773580484,1.24697960371747,0.445041867912629,-0.445041867912629,-1.24697960371747,"unclassified",NA
"1098617351849869312",5,6,5,1,1,3,3,3,1.5,3,0.6,1.66666666666667,1.15470053837925,2.13333333333333,-0.54375936008528,0.331535828435473,0.875295188520753,-0.54375936008528,-0.339212788818083,1.65173629925285,0.313422617232647,0.099118133143518,0.138629436111989,0.693147180559945,0.6,0.975108130246159,5767.6,3812,95259,4.8,3256.6,2970.2,24789,6.8,2367,2907,10208,7,1.90211303259031,1.17557050458495,0.000000000000000737691039547173,0.0000000000000000000000000000000123259516440783,-1.17557050458495,"unclassified",NA
"1098617351862452224",2,3,2,1,1,1,1,2,1.5,2,1,2,0,1.33333333333333,-1.41375828122783,-1.41375828122783,0,-1.41375828122783,-1.41375828122783,3.49788307815242,0.0383465390776644,0.0163827193530164,0,0,0,0.95426082348407,243,528,121965,3.5,424659,568,42673,11,424659,568,42673,11,1.4142135623731,0,-1.4142135623731,0,0,"unclassified",NA
"1098618199086489600",16,17,16,1,1,4,4,6,3.4,6,0.375,2,1.77281052085584,3.20588235294118,0.00483896035899765,0.533224120202979,0.528385159843981,0.172715755288361,0.177419645727062,2.35119633423681,0.557420217907263,0.177093881769861,0.497846598320624,7.96554557312998,0.25,0.967292141117569,242.6875,325.8125,130194,4,448.5,201.5,180793,3.625,482,209,193656,3,2.71037099484025,1.77940949552467,1.53591002363585,1.28418785741776,1.14064116687319,"viral",2
