"tweet_id","parent_id","retweeter_id","time_elapsed"
"1098612205443010560","318280647","1085539878",-0.349471514440305
"1098612205443010560","318280647","1480882058",-0.349471514440305
"1098612205443010560","318280647","176225006",-0.349471514440305
"1098612205443010560","318280647","21303464",-0.349471514440305
"1098612205443010560","34713362","134016518",-1.14281342378159
"1098612205443010560","34713362","1376211097",-1.14281342378159
"1098612205443010560","34713362","18663561",-1.14281342378159
"1098612205443010560","34713362","1872814519",-1.14281342378159
"1098612205443010560","34713362","245413593",-1.14281342378159
"1098612205443010560","34713362","24886438",-1.14281342378159
"1098612205443010560","34713362","256732709",-1.14281342378159
"1098612205443010560","34713362","2704670382",-1.14281342378159
"1098612205443010560","34713362","318280647",-1.14281342378159
"1098612205443010560","34713362","3299757884",-1.14281342378159
"1098612205443010560","34713362","41269408",-1.14281342378159
"1098612205443010560","34713362","46894361",-1.14281342378159
"1098612205443010560","34713362","563926291",-1.14281342378159
"1098612205443010560","34713362","932225313119129600",-1.14281342378159
"1098612205443010560","34713362","947623858751750144",-1.14281342378159
"1098612205443010560","35002876","1198484852",-0.369569297435569
"1098612205443010560","35002876","34713362",-0.369569297435569
"1098612205443010560","35002876","588943819",-0.369569297435569
"1098612205443010560","35002876","68341887",-0.369569297435569
"1098612230608703491","1076759592992890880","1087234458116272128",-0.752193534075497
"1098612230608703491","1076759592992890880","3012094692",-0.752193534075497
"1098612230608703491","1076759592992890880","795289710",-0.752193534075497
"1098612230608703491","1087234458116272128","908901029369876480",-1.79974040800038
"1098612729739239424","2550447338","1045133949398183936",-0.176634734508265
"1098612729739239424","2550447338","1391090792",-0.176634734508265
"1098612729739239424","2550447338","163550949",-0.176634734508265
"1098612729739239424","2550447338","183554983",-0.176634734508265
"1098612729739239424","2550447338","193168224",-0.176634734508265
"1098612729739239424","2550447338","253041026",-0.176634734508265
"1098612729739239424","2550447338","254493834",-0.176634734508265
"1098612729739239424","2550447338","310698221",-0.176634734508265
"1098612729739239424","2550447338","333142224",-0.176634734508265
"1098612729739239424","2550447338","335109255",-0.176634734508265
"1098612729739239424","2550447338","66694770",-0.176634734508265
"1098612729739239424","2550447338","867169488562769920",-0.176634734508265
"1098612842985607168","1242707540","1916024868",0.0897400628469027
"1098612842985607168","1242707540","484895002",0.0897400628469027
"1098612842985607168","1242707540","724576297",0.0897400628469027
"1098612842985607168","1242707540","97572235",0.0897400628469027
"1098614705244041218","856580576932974592","106694988",-0.493215633929069
"1098614705244041218","856580576932974592","14801285",-0.493215633929069
"1098614705244041218","856580576932974592","191203148",-0.493215633929069
"1098614705244041218","856580576932974592","256192675",-0.493215633929069
"1098614705244041218","856580576932974592","2813342810",-0.493215633929069
"1098614705244041218","856580576932974592","315265250",-0.493215633929069
"1098614705244041218","856580576932974592","38850904",-0.493215633929069
"1098614705244041218","856580576932974592","542634403",-0.493215633929069
"1098614705244041218","856580576932974592","636148585",-0.493215633929069
"1098614705244041218","856580576932974592","718564547783745536",-0.493215633929069
"1098614705244041218","856580576932974592","783373600036417536",-0.493215633929069
"1098614705244041218","856580576932974592","885409463070408704",-0.493215633929069
"1098615963535228928","1475835248","2564549539",0.557291441369382
"1098615963535228928","2564549539","899798244464766976",0.911239741630593
"1098615963535228928","801479508","1475835248",0.351358316310654
"1098617171478044673","20396644","222567335",-0.908384927254555
"1098617171478044673","208565354","20396644",-3.14819751901078
"1098617171478044673","208565354","2790227874",-3.14819751901078
"1098617171478044673","222567335","3397308556",-0.880798583330374
"1098617171478044673","3397308556","524654504",-0.38839661957317
"1098617351849869312","256640717","2828174832",-0.506899943131472
"1098617351849869312","2828174832","2294341010",0.331535828435473
"1098617351849869312","551954549","256640717",-0.54375936008528
"1098617351849869312","551954549","715164267599630336",-0.54375936008528
"1098617351849869312","551954549","773880670657585152",-0.54375936008528
"1098617351862452224","17483878","2371275024",-1.41375828122783
"1098617351862452224","17483878","896046424722243584",-1.41375828122783
"1098618199086489600","1679801540","4115712674",0.533224120202979
"1098618199086489600","283409608","3399034629",0.200636038937379
"1098618199086489600","3399034629","3990710784",0.236947584149321
"1098618199086489600","3687482112","744631048869289984",0.177419645727062
"1098618199086489600","4706556588","1679801540",0.149405641680145
"1098618199086489600","4706556588","794043302811172864",0.149405641680145
"1098618199086489600","789668147485745152","1056545034370043904",0.00483896035899765
"1098618199086489600","789668147485745152","2171851999",0.00483896035899765
"1098618199086489600","789668147485745152","794425013935837184",0.00483896035899765
"1098618199086489600","794043302811172864","3687482112",0.120273953151651
"1098618199086489600","805310098415288320","1031090062409121792",0.172715755288361
"1098618199086489600","805310098415288320","283409608",0.172715755288361
"1098618199086489600","805310098415288320","39888378",0.172715755288361
"1098618199086489600","805310098415288320","4706556588",0.172715755288361
"1098618199086489600","805310098415288320","789668147485745152",0.172715755288361
"1098618199086489600","805310098415288320","962198837229076480",0.172715755288361
