"tweet_id","depth","breadth"
"1098612205443010560",0,1
"1098612205443010560",1,4
"1098612205443010560",2,15
"1098612205443010560",3,4
"1098612230608703491",0,1
"1098612230608703491",1,3
"1098612230608703491",2,1
"1098612729739239424",0,1
"1098612729739239424",1,12
"1098612842985607168",0,1
"1098612842985607168",1,4
"1098614705244041218",0,1
"1098614705244041218",1,12
"1098615963535228928",0,1
"1098615963535228928",1,1
"1098615963535228928",2,1
"1098615963535228928",3,1
"1098617171478044673",0,1
"1098617171478044673",1,2
"1098617171478044673",2,1
"1098617171478044673",3,1
"1098617171478044673",4,1
"1098617351849869312",0,1
"1098617351849869312",1,3
"1098617351849869312",2,1
"1098617351849869312",3,1
"1098617351862452224",0,1
"1098617351862452224",1,2
"1098618199086489600",0,1
"1098618199086489600",1,6
"1098618199086489600",2,6
"1098618199086489600",3,3
"1098618199086489600",4,1
"1098618291357188096",0,1
"1098618291357188096",1,2
"1098618291357188096",2,2
"1098618291357188096",3,1
"1098618291357188096",4,1
"1098618291357188096",5,2
"1098618467526299648",0,1
"1098618467526299648",1,8
"1098618467526299648",2,40
"1098618467526299648",3,27
"1098618467526299648",4,1
"1098620233319895043",0,1
"1098620233319895043",1,1
"1098620233319895043",2,2
"1098620233319895043",3,2
"1098620371757088768",0,1
"1098620371757088768",1,7
"1098620749244444673",0,1
"1098620749244444673",1,1
"1098620749244444673",2,4
"1098620921190010881",0,1
"1098620921190010881",1,34
"1098620921190010881",2,13
"1098620921190010881",3,4
"1098620921190010881",4,4
"1098620921190010881",5,4
"1098620921190010881",6,4
"1098620921190010881",7,4
"1098620921190010881",8,2
"1098620921190010881",9,2
"1098620921190010881",10,1
"1098621277735133189",0,2
"1098621277735133189",1,6
"1098621277735133189",2,1
"1098621458077630464",0,1
"1098621458077630464",1,6
"1098621458077630464",2,3
"1098621646800384000",0,1
"1098621646800384000",1,2
"1098621646800384000",2,3
"1098621646800384000",3,1
"1098622041085878277",0,1
"1098622041085878277",1,68
"1098622041085878277",2,5
"1098622041085878277",3,2
"1098622397584941057",0,1
"1098622397584941057",1,1
"1098622397584941057",2,1
"1098623362295873538",0,1
"1098623362295873538",1,4
"1098623475546234886",0,1
"1098623475546234886",1,2
"1098623475546234886",2,3
"1098623475546234886",3,2
"1098623475546234886",4,1
"1098623475546234886",5,1
"1098624524126285825",0,1
"1098624524126285825",1,6
"1098624524126285825",2,1
"1098625006441885696",0,1
"1098625006441885696",1,3
"1098625006441885696",2,2
"1098625237158166528",0,1
"1098625237158166528",1,4
"1098627426555289600",0,1
"1098627426555289600",1,10
"1098627426555289600",2,1
"1098627858602344448",0,1
"1098627858602344448",1,47
"1098627858602344448",2,13
"1098627858602344448",3,18
"1098627858602344448",4,5
"1098627858602344448",5,4
"1098628584216743937",0,1
"1098628584216743937",1,4
"1098628642912038912",0,1
"1098628642912038912",1,1
"1098628642912038912",2,2
"1098628642912038912",3,4
"1098628642912038912",4,5
"1098628642912038912",5,3
"1098628642912038912",6,2
"1098628642912038912",7,1
"1098630786226495488",0,2
"1098630786226495488",1,2
"1098630786226495488",2,7
"1098630786226495488",3,4
"1098630786226495488",4,3
"1098630786226495488",5,3
"1098630786226495488",6,1
"1098630786226495488",7,5
"1098630786226495488",8,4
"1098630786226495488",9,2
"1098630786226495488",10,5
"1098630786226495488",11,2
"1098631964805005313",0,1
"1098631964805005313",1,4
"1098631964805005313",2,2
"1098632157746978816",0,1
"1098632157746978816",1,4
"1098632157746978816",2,4
"1098632157746978816",3,4
"1098632157746978816",4,3
"1098632157746978816",5,2
"1098632157746978816",6,1
"1098632157746978816",7,2
"1098632157746978816",8,2
"1098632157746978816",9,2
"1098632157746978816",10,1
"1098632157746978816",11,1
"1098632984029265922",0,1
"1098632984029265922",1,1
"1098632984029265922",2,2
"1098632984029265922",3,1
"1098633063733460992",0,1
"1098633063733460992",1,7
"1098633063733460992",2,3
"1098635286693724161",0,1
"1098635286693724161",1,7
"1098635404151017472",0,1
"1098635404151017472",1,2
"1098636532414627840",0,1
"1098636532414627840",1,38
"1098636532414627840",2,16
"1098636532414627840",3,9
"1098636532414627840",4,10
"1098636532414627840",5,6
"1098636532414627840",6,1
"1098638457574850560",0,1
"1098638457574850560",1,3
"1098638457574850560",2,2
"1098638478563250176",0,1
"1098638478563250176",1,20
"1098638478563250176",2,1
"1098639363548897280",0,1
"1098639363548897280",1,11
"1098639363548897280",2,7
"1098639363548897280",3,3
"1098639363548897280",4,1
"1098639363548897280",5,1
"1098640118540316673",0,3
"1098640118540316673",1,3
"1098640537974947843",0,1
"1098640537974947843",1,13
"1098640537974947843",2,4
"1098640537974947843",3,5
"1098640537974947843",4,1
"1098640537974947843",5,1
"1098640537974947843",6,1
"1098640537974947843",7,2
"1098641091627229188",0,1
"1098641091627229188",1,6
"1098641590732627969",0,1
"1098641590732627969",1,4
"1098641590732627969",2,3
"1098641590732627969",3,1
"1098641892705792001",0,1
"1098641892705792001",1,1
"1098641892705792001",2,1
"1098641892705792001",3,1
"1098641892705792001",4,1
"1098641892705792001",5,1
"1098641892705792001",6,1
"1098641892705792001",7,1
"1098641980807102464",0,1
"1098641980807102464",1,4
"1098641980807102464",2,5
"1098643557844467713",0,1
"1098643557844467713",1,14
"1098643557844467713",2,6
"1098643557844467713",3,1
"1098643557844467713",4,1
"1098643557844467713",5,2
"1098643557844467713",6,2
"1098643557844467713",7,2
"1098643557844467713",8,2
"1098643557844467713",9,1
"1098643557844467713",10,5
"1098643557844467713",11,2
"1098643557844467713",12,1
"1098643557844467713",13,1
"1098643557844467713",14,3
"1098643557844467713",15,4
"1098643557844467713",16,1
"1098643557844467713",17,3
"1098643557844467713",18,1
"1098643557844467713",19,1
"1098643557844467713",20,1
"1098643557844467713",21,3
"1098643557844467713",22,2
"1098643557844467713",23,3
"1098643557844467713",24,2
"1098643557844467713",25,5
"1098643557844467713",26,3
"1098643557844467713",27,1
"1098643671094685697",0,2
"1098643671094685697",1,2
"1098643671094685697",2,2
"1098643671094685697",3,4
"1098643671094685697",4,5
"1098643671094685697",5,4
"1098643671094685697",6,1
"1098643671094685697",7,2
"1098643671094685697",8,1
"1098643671094685697",9,3
"1098643671094685697",10,1
"1098643671094685697",11,3
"1098643671094685697",12,3
"1098643671094685697",13,1
"1098643671094685697",14,1
"1098643671094685697",15,2
"1098644434462347270",0,1
"1098644434462347270",1,14
"1098644434462347270",2,5
"1098644434462347270",3,7
"1098644434462347270",4,9
"1098644434462347270",5,5
"1098644434462347270",6,8
"1098644434462347270",7,6
"1098644434462347270",8,6
"1098644434462347270",9,4
"1098644434462347270",10,3
"1098644434462347270",11,3
"1098644434462347270",12,1
"1098646007338942465",0,1
"1098646007338942465",1,1
"1098646007338942465",2,2
"1098646007338942465",3,1
"1098646007338942465",4,1
"1098648255477571589",0,1
"1098648255477571589",1,1
"1098648255477571589",2,1
"1098648255477571589",3,2
"1098648255477571589",4,1
"1098648851077054464",0,1
"1098648851077054464",1,12
"1098648851077054464",2,4
"1098648851077054464",3,5
"1098648851077054464",4,7
"1098648851077054464",5,1
"1098648851077054464",6,1
"1098651413792673792",0,1
"1098651413792673792",1,5
"1098651413792673792",2,1
"1098654383351521282",0,1
"1098654383351521282",1,3
"1098654383351521282",2,1
"1098654383351521282",3,3
"1098654383351521282",4,1
"1098654383351521282",5,1
"1098654383351521282",6,1
"1098654383351521282",7,1
"1098654383351521282",8,1
"1098654383351521282",9,1
"1098654383351521282",10,1
"1098654383351521282",11,1
"1098655528417484802",0,1
"1098655528417484802",1,1
"1098655528417484802",2,9
"1098655528417484802",3,1
"1098657927538200576",0,1
"1098657927538200576",1,1
"1098657927538200576",2,9
"1098657927538200576",3,1
"1098658976126984192",0,1
"1098658976126984192",1,5
"1098661899573567489",0,1
"1098661899573567489",1,6
"1098662893594267649",0,1
"1098662893594267649",1,1
"1098662893594267649",2,5
"1098666165168209920",0,1
"1098666165168209920",1,20
"1098666165168209920",2,3
"1098666207119634437",0,1
"1098666207119634437",1,3
"1098666207119634437",2,1
"1098666710406758400",0,1
"1098666710406758400",1,1
"1098668346197839872",0,1
"1098668346197839872",1,3
"1098668346197839872",2,1
"1098668346197839872",3,1
"1098669193438904320",0,1
"1098669193438904320",1,3
"1098669193438904320",2,1
"1098669193438904320",3,1
"1098670564997255169",0,1
"1098670564997255169",1,2
"1098670564997255169",2,2
"1098670564997255169",3,1
"1098670564997255169",4,2
"1098670564997255169",5,1
"1098671080896643082",0,1
"1098671080896643082",1,6
"1098671932348747782",0,1
"1098671932348747782",1,4
"1098673589077925894",0,1
"1098673589077925894",1,5
"1098678349625507842",0,1
"1098678349625507842",1,14
"1098678349625507842",2,5
"1098680404809314304",0,1
"1098680404809314304",1,1
"1098680404809314304",2,3
"1098680404809314304",3,1
"1098681205929791491",0,1
"1098681205929791491",1,2
"1098681205929791491",2,1
"1098681205929791491",3,3
"1098681205929791491",4,2
"1098682061576118274",0,1
"1098682061576118274",1,3
"1098682061576118274",2,1
"1098683458287620096",0,1
"1098683458287620096",1,10
"1098683458287620096",2,6
"1098685446358470657",0,1
"1098685446358470657",1,1
"1098685446358470657",2,1
"1098685446358470657",3,1
"1098686411060858880",0,1
"1098686411060858880",1,3
"1098688961193693184",0,1
"1098688961193693184",1,12
"1098689103804141568",0,1
"1098689103804141568",1,24
"1098689435154239491",0,1
"1098689435154239491",1,2
"1098689435154239491",2,6
"1098689435154239491",3,2
"1098689892341698560",0,1
"1098689892341698560",1,3
"1098689892341698560",2,2
"1098689892341698560",3,7
"1098689892341698560",4,6
"1098691259701456896",0,1
"1098691259701456896",1,1
"1098691259701456896",2,1
"1098691259701456896",3,1
"1098691259701456896",4,2
"1098691259701456896",5,2
"1098691259701456896",6,3
"1098691259701456896",7,3
"1098691259701456896",8,6
"1098691259701456896",9,8
"1098691700074205186",0,1
"1098691700074205186",1,4
"1098691700074205186",2,1
"1098692396328529921",0,1
"1098692396328529921",1,7
"1098694975829684224",0,1
"1098694975829684224",1,5
"1098694975829684224",2,2
"1098696175404965889",0,5
"1098696175404965889",1,6
"1098696175404965889",2,3
"1098696175404965889",3,2
"1098696175404965889",4,1
"1098696561301835776",0,1
"1098696561301835776",1,2
"1098696561301835776",2,1
"1098696561301835776",3,1
"1098696561301835776",4,1
"1098696561301835776",5,2
"1098696561301835776",6,1
"1098696934573989889",0,1
"1098696934573989889",1,6
"1098698092185030661",0,1
"1098698092185030661",1,10
"1098698092185030661",2,4
"1098698092185030661",3,1
"1098698243217809411",0,1
"1098698243217809411",1,16
"1098698243217809411",2,5
"1098699031725965314",0,1
"1098699031725965314",1,3
"1098699031725965314",2,1
"1098699031725965314",3,1
"1098699379848941568",0,1
"1098699379848941568",1,11
"1098700139022053376",0,2
"1098700139022053376",1,2
"1098700139022053376",2,1
"1098703305721696262",0,1
"1098703305721696262",1,59
"1098703305721696262",2,9
"1098703305721696262",3,8
"1098703305721696262",4,1
"1098703427339776001",0,1
"1098703427339776001",1,12
"1098704329136132099",0,1
"1098704329136132099",1,1
"1098704329136132099",2,7
"1098704329136132099",3,1
"1098704329136132099",4,1
"1098704329136132099",5,1
"1098704840836960259",0,1
"1098704840836960259",1,1
"1098704840836960259",2,1
"1098704840836960259",3,1
"1098704840836960259",4,1
"1098704840836960259",5,1
"1098704840836960259",6,1
"1098705121855197184",0,1
"1098705121855197184",1,4
"1098705121855197184",2,1
"1098706715711811584",0,1
"1098706715711811584",1,11
"1098706715711811584",2,10
"1098706715711811584",3,3
"1098706715711811584",4,1
"1098707097359929345",0,1
"1098707097359929345",1,2
"1098707760072609792",0,1
"1098707760072609792",1,3
"1098708095629492225",0,1
"1098708095629492225",1,6
"1098708095629492225",2,2
"1098710972913668097",0,1
"1098710972913668097",1,4
"1098711161644769280",0,1
"1098711161644769280",1,4
"1098711463638626305",0,1
"1098711463638626305",1,3
"1098711463638626305",2,2
"1098712847759085571",0,1
"1098712847759085571",1,1
"1098714609366822912",0,1
"1098714609366822912",1,3
"1098714609366822912",2,1
"1098714965870022656",0,2
"1098714965870022656",1,2
"1098717096597434371",0,1
"1098717096597434371",1,5
"1098717197256527877",0,1
"1098717197256527877",1,1
"1098717197256527877",2,1
"1098721781647638530",0,1
"1098721781647638530",1,5
"1098722259777306624",0,1
"1098722259777306624",1,4
"1098727037089472512",0,1
"1098727037089472512",1,1
"1098727037089472512",2,9
"1098727599134728192",0,1
"1098727599134728192",1,13
"1098727599134728192",2,16
"1098727905302118400",0,1
"1098727905302118400",1,1
"1098727905302118400",2,2
"1098729037776719873",0,1
"1098729037776719873",1,1
"1098729037776719873",2,1
"1098729037776719873",3,1
"1098729037776719873",4,1
"1098729687910703104",0,1
"1098729687910703104",1,13
"1098730115708710913",0,1
"1098730115708710913",1,6
"1098730115708710913",2,5
"1098730115708710913",3,2
"1098730115708710913",4,2
"1098730115708710913",5,1
"1098731097167323137",0,1
"1098731097167323137",1,1
"1098731353036804096",0,1
"1098731353036804096",1,5
"1098731353036804096",2,4
"1098731353036804096",3,2
"1098731353036804096",4,4
"1098731353036804096",5,3
"1098731353036804096",6,4
"1098731353036804096",7,2
"1098732196108664839",0,2
"1098732196108664839",1,15
"1098732196108664839",2,11
"1098732196108664839",3,9
"1098732196108664839",4,6
"1098732196108664839",5,3
"1098732196108664839",6,2
"1098732196108664839",7,3
"1098732196108664839",8,2
"1098732196108664839",9,3
"1098733118838628352",0,1
"1098733118838628352",1,1
"1098733253039661060",0,1
"1098733253039661060",1,5
"1098733253039661060",2,5
"1098738063914778624",0,1
"1098738063914778624",1,5
"1098738558838493186",0,1
"1098738558838493186",1,51
"1098738558838493186",2,20
"1098738558838493186",3,4
"1098738558838493186",4,4
"1098738558838493186",5,2
"1098738558838493186",6,1
"1098738722416279552",0,1
"1098738722416279552",1,5
"1098738722432987136",0,1
"1098738722432987136",1,8
"1098738722432987136",2,2
"1098741645850411011",0,2
"1098741645850411011",1,4
"1098741645850411011",2,1
"1098741645850411011",3,1
"1098741645850411011",4,1
"1098741985584701441",0,1
"1098741985584701441",1,46
"1098741985584701441",2,19
"1098741985584701441",3,6
"1098742316943241217",0,1
"1098742316943241217",1,8
"1098742446966665222",0,1
"1098742446966665222",1,4
"1098742446966665222",2,18
"1098742446966665222",3,4
"1098742446966665222",4,2
"1098743868831367168",0,1
"1098743868831367168",1,5
"1098743868831367168",2,1
"1098743868831367168",3,3
"1098743868831367168",4,4
"1098744690902515712",0,1
"1098744690902515712",1,5
"1098744690902515712",2,2
"1098745089386524673",0,1
"1098745089386524673",1,8
"1098745089386524673",2,8
"1098745089386524673",3,1
"1098745630447583232",0,1
"1098745630447583232",1,1
"1098745630447583232",2,1
"1098745630447583232",3,1
"1098745630447583232",4,1
"1098745630447583232",5,1
"1098746360235323392",0,1
"1098746360235323392",1,5
"1098747509491433472",0,1
"1098747509491433472",1,5
"1098747509491433472",2,2
"1098747715003924480",0,1
"1098747715003924480",1,2
"1098747715003924480",2,2
"1098747715003924480",3,2
"1098747715003924480",4,1
"1098747715003924480",5,1
"1098747715003924480",6,1
"1098747715003924480",7,1
"1098747715003924480",8,1
"1098747715003924480",9,1
"1098749996705435648",0,1
"1098749996705435648",1,1
"1098749996705435648",2,1
"1098749996705435648",3,1
"1098749996705435648",4,1
"1098749996705435648",5,1
"1098749996705435648",6,1
"1098749996705435648",7,1
"1098749996705435648",8,1
"1098749996705435648",9,1
"1098749996705435648",10,1
"1098749996705435648",11,2
"1098749996705435648",12,1
"1098749996705435648",13,1
"1098749996705435648",14,1
"1098749996705435648",15,1
"1098749996705435648",16,1
"1098749996705435648",17,1
"1098749996705435648",18,1
"1098749996705435648",19,3
"1098749996705435648",20,3
"1098749996705435648",21,3
"1098754413311729665",0,1
"1098754413311729665",1,5
"1098754413311729665",2,8
"1098754870516088837",0,1
"1098754870516088837",1,1
"1098754870516088837",2,1
"1098754870516088837",3,2
"1098754870516088837",4,3
"1098754870516088837",5,1
"1098755600287068161",0,1
"1098755600287068161",1,1
"1098755600287068161",2,1
"1098755600287068161",3,2
"1098755600287068161",4,1
"1098755600287068161",5,2
"1098755600287068161",6,2
"1098755600287068161",7,1
"1098757865211338752",0,1
"1098757865211338752",1,2
"1098757865211338752",2,2
"1098757865211338752",3,1
"1098757865211338752",4,1
"1098757865211338752",5,1
"1098757865211338752",6,2
"1098757865211338752",7,3
"1098757865211338752",8,1
"1098758464996814849",0,1
"1098758464996814849",1,3
"1098758464996814849",2,2
"1098758464996814849",3,1
"1098758767003533314",0,1
"1098758767003533314",1,7
"1098758767003533314",2,2
"1098758767003533314",3,1
"1098758767003533314",4,1
"1098760029484867584",0,1
"1098760029484867584",1,5
"1098760029484867584",2,3
"1098760029484867584",3,1
"1098765637273427970",0,1
"1098765637273427970",1,5
"1098765637273427970",2,1
"1098767138830106624",0,4
"1098767138830106624",1,5
"1098767138830106624",2,4
"1098767138830106624",3,4
"1098769886107578368",0,1
"1098769886107578368",1,79
"1098769886107578368",2,1
"1098773094729166849",0,1
"1098773094729166849",1,9
"1098773094729166849",2,1
"1098773677749850112",0,1
"1098773677749850112",1,5
"1098774185277575168",0,3
"1098774185277575168",1,4
"1098774185277575168",2,4
"1098774185277575168",3,3
"1098774185277575168",4,3
"1098774185277575168",5,4
"1098774185277575168",6,8
"1098774185277575168",7,3
"1098774185277575168",8,5
"1098774185277575168",9,5
"1098774185277575168",10,4
"1098774185277575168",11,5
"1098774185277575168",12,6
"1098774185277575168",13,3
"1098774185277575168",14,4
"1098774185277575168",15,2
"1098774185277575168",16,5
"1098774185277575168",17,2
"1098774193636700160",0,1
"1098774193636700160",1,3
"1098774193636700160",2,2
"1098774193636700160",3,1
"1098778450880536576",0,1
"1098778450880536576",1,1
"1098778450880536576",2,1
"1098778450880536576",3,2
"1098778450880536576",4,1
"1098779176499335168",0,1
"1098779176499335168",1,4
"1098779176499335168",2,4
"1098779176499335168",3,2
"1098779176499335168",4,1
"1098779176499335168",5,1
"1098779675608928256",0,1
"1098779675608928256",1,17
"1098780615124680704",0,1
"1098780615124680704",1,1
"1098780615124680704",2,1
"1098780615124680704",3,1
"1098780615124680704",4,1
"1098781663700705280",0,1
"1098781663700705280",1,4
"1098782125082492929",0,1
"1098782125082492929",1,2
"1098782125082492929",2,2
"1098782125082492929",3,1
"1098782125082492929",4,2
"1098782125082492929",5,2
"1098782125082492929",6,1
"1098782125082492929",7,1
"1098782125082492929",8,3
"1098782125082492929",9,1
"1098782125082492929",10,1
"1098782125082492929",11,1
"1098782880057180160",0,2
"1098782880057180160",1,5
"1098782880057180160",2,2
"1098782880057180160",3,2
"1098782880057180160",4,8
"1098786667521953793",0,4
"1098786667521953793",1,13
"1098786667521953793",2,18
"1098786667521953793",3,7
"1098786667521953793",4,1
"1098787103737925632",0,1
"1098787103737925632",1,23
"1098787103737925632",2,3
"1098787103737925632",3,1
"1098787103737925632",4,1
"1098787103737925632",5,3
"1098787103737925632",6,4
"1098787103737925632",7,1
"1098787418285592576",0,1
"1098787418285592576",1,2
"1098787418285592576",2,1
"1098787418285592576",3,1
"1098789129574379521",0,1
"1098789129574379521",1,6
"1098789653874761728",0,1
"1098789653874761728",1,10
"1098789653874761728",2,1
"1098790664702021633",0,1
"1098790664702021633",1,1
"1098791541282430977",0,1
"1098791541282430977",1,11
"1098791541282430977",2,3
"1098791541282430977",3,1
"1098791541282430977",4,2
"1098795714610638848",0,1
"1098795714610638848",1,9
"1098795714610638848",2,3
"1098795714610638848",3,2
"1098795714610638848",4,1
"1098800496150831105",0,5
"1098800496150831105",1,5
"1098800496150831105",2,1
"1098801083344920578",0,1
"1098801083344920578",1,59
"1098801083344920578",2,15
"1098801083344920578",3,2
"1098801565694025728",0,1
"1098801565694025728",1,5
"1098803591526207488",0,1
"1098803591526207488",1,2
"1098803591526207488",2,1
"1098803591526207488",3,1
"1098803901904576513",0,2
"1098803901904576513",1,3
"1098803989972316160",0,1
"1098803989972316160",1,40
"1098803989972316160",2,8
"1098803989972316160",3,3
"1098803989972316160",4,3
"1098803989972316160",5,1
"1098814618363879424",0,1
"1098814618363879424",1,12
"1098814618363879424",2,4
"1098816195426439170",0,1
"1098816195426439170",1,11
"1098816195426439170",2,2
"1098816195426439170",3,45
"1098816195426439170",4,2
"1098816296072794114",0,1
"1098816296072794114",1,3
"1098816296072794114",2,1
"1098816296072794114",3,1
"1098818133177954305",0,1
"1098818133177954305",1,3
"1098818133177954305",2,1
"1098818338698887168",0,1
"1098818338698887168",1,3
"1098818338698887168",2,1
"1098818338698887168",3,2
"1098818338698887168",4,1
"1098824193964007424",0,1
"1098824193964007424",1,75
"1098824193964007424",2,2
"1098826152674840581",0,1
"1098826152674840581",1,21
"1098826152674840581",2,3
"1098826152674840581",3,7
"1098826152674840581",4,2
"1098826714711511040",0,1
"1098826714711511040",1,9
"1098826714711511040",2,2
"1098826714711511040",3,2
"1098826714711511040",4,1
"1098826714711511040",5,1
"1098828375693684737",0,1
"1098828375693684737",1,7
"1098828375693684737",2,3
"1098830175037313024",0,1
"1098830175037313024",1,1
"1098830351210856448",0,1
"1098830351210856448",1,3
"1098830749669699584",0,1
"1098830749669699584",1,57
"1098830749669699584",2,22
"1098830749669699584",3,7
"1098830749669699584",4,2
"1098830749669699584",5,4
"1098832918124863488",0,1
"1098832918124863488",1,38
"1098832918124863488",2,4
"1098833530463928320",0,1
"1098833530463928320",1,1
"1098833530463928320",2,1
"1098833530463928320",3,1
"1098833530463928320",4,1
"1098833530463928320",5,1
"1098833530463928320",6,2
"1098833530463928320",7,2
"1098833530463928320",8,1
"1098833530463928320",9,1
"1098833530463928320",10,1
"1098835837352067072",0,1
"1098835837352067072",1,8
"1098835837352067072",2,1
"1098835837352067072",3,1
"1098836265171124225",0,1
"1098836265171124225",1,6
"1098836265171124225",2,3
"1098836265171124225",3,2
"1098836265171124225",4,2
"1098836265171124225",5,3
"1098836265171124225",6,1
"1098839280875700224",0,1
"1098839280875700224",1,29
"1098839280875700224",2,7
"1098839280875700224",3,44
"1098839280875700224",4,7
"1098839280875700224",5,2
"1098840618866884608",0,1
"1098840618866884608",1,1
"1098840618866884608",2,1
"1098840618866884608",3,2
"1098840618866884608",4,2
"1098840618866884608",5,2
"1098845295490654212",0,1
"1098845295490654212",1,1
"1098845295490654212",2,4
"1098845295490654212",3,2
"1098845295490654212",4,1
"1098849334605594625",0,1
"1098849334605594625",1,1
"1098849334605594625",2,7
"1098849334605594625",3,2
"1098849334605594625",4,2
"1098855147919298561",0,1
"1098855147919298561",1,3
"1098855147919298561",2,2
"1098856615913115649",0,1
"1098856615913115649",1,21
"1098856615913115649",2,2
"1098856615913115649",3,4
"1098856615913115649",4,2
"1098856615913115649",5,3
"1098856615913115649",6,3
"1098856615913115649",7,1
"1098856615913115649",8,1
"1098857479939645441",0,1
"1098857479939645441",1,31
"1098857479939645441",2,5
"1098857479939645441",3,12
"1098857479939645441",4,19
"1098857479939645441",5,15
"1098857479939645441",6,3
"1098858977297920000",0,1
"1098858977297920000",1,2
"1098858977297920000",2,3
"1098858977297920000",3,1
"1098860504028667904",0,1
"1098860504028667904",1,1
"1098860730542043138",0,1
"1098860730542043138",1,6
"1098860730542043138",2,3
"1098860730542043138",3,2
"1098860831188631553",0,1
"1098860831188631553",1,1
"1098860831188631553",2,1
"1098860831188631553",3,1
"1098860831188631553",4,1
"1098860831188631553",5,1
"1098860831188631553",6,1
"1098861007349391360",0,1
"1098861007349391360",1,1
"1098861867177525248",0,1
"1098861867177525248",1,9
"1098862458570244096",0,1
"1098862458570244096",1,2
"1098862458570244096",2,2
"1098862458570244096",3,2
"1098862458570244096",4,2
"1098862458570244096",5,1
"1098862458570244096",6,2
"1098862458570244096",7,1
"1098862458570244096",8,1
"1098867135256891393",0,1
"1098867135256891393",1,2
"1098867135256891393",2,2
"1098867135256891393",3,2
"1098867135256891393",4,2
"1098867135256891393",5,1
"1098867521116127235",0,5
"1098867521116127235",1,9
"1098867521116127235",2,3
"1098867521116127235",3,1
"1098867521116127235",4,1
"1098869156898852869",0,1
"1098869156898852869",1,5
"1098869156898852869",2,1
"1098872269068218368",0,1
"1098872269068218368",1,1
"1098872269068218368",2,1
"1098872906581340160",0,1
"1098872906581340160",1,48
"1098872906581340160",2,5
"1098872906581340160",3,2
"1098872906581340160",4,21
"1098872906581340160",5,3
"1098873208592310272",0,1
"1098873208592310272",1,59
"1098873208592310272",2,11
"1098875041499004928",0,1
"1098875041499004928",1,70
"1098875041499004928",2,5
"1098875041499004928",3,1
"1098875716785983488",0,1
"1098875716785983488",1,3
"1098875716785983488",2,3
"1098875716785983488",3,2
"1098881022559772672",0,1
"1098881022559772672",1,5
"1098881022559772672",2,5
"1098881022559772672",3,1
"1098881022559772672",4,3
"1098882943555170305",0,1
"1098882943555170305",1,14
"1098882943555170305",2,11
"1098882943555170305",3,4
"1098882943555170305",4,4
"1098882943555170305",5,3
"1098883866322964480",0,2
"1098883866322964480",1,3
"1098883866322964480",2,3
"1098883866322964480",3,2
"1098883866322964480",4,1
"1098883992143708160",0,1
"1098883992143708160",1,17
"1098883992143708160",2,2
"1098883992143708160",3,5
"1098883992143708160",4,2
"1098884155713179648",0,1
"1098884155713179648",1,1
"1098884155713179648",2,1
"1098884155713179648",3,2
"1098884155713179648",4,2
"1098884155713179648",5,1
"1098885292365369345",0,1
"1098885292365369345",1,3
"1098885292365369345",2,1
"1098886131234439168",0,1
"1098886131234439168",1,1
"1098886131234439168",2,1
"1098886131234439168",3,1
"1098887544702406658",0,1
"1098887544702406658",1,2
"1098887544702406658",2,2
"1098887544702406658",3,1
"1098887800592699392",0,1
"1098887800592699392",1,38
"1098887800592699392",2,23
