"feature","n","mean_broadcast","mean_viral","beta_viral_control_size","p_value"
"avg_interaction",446,2.19596380623936,1.89208365988907,-0.373366845865315,0.0000717300903774989
"avg_interest_similarity",446,0.120594388991076,0.182659458884897,0.343629890878733,0.000308353649757161
"avg_structural_redundancy",446,0.0906011644277224,0.15225924815671,0.79529749874632,0.00000000000000000725425655596038
"avg_number_exposures",446,0.0515012100421515,0.500738298956649,1.15313814607799,0.000000000000000000000000000000000000000431998759440481
"mean_reciprocity",446,0.266440570916689,0.615520939398531,1.15385536290364,0.0000000000000000000000000000000000000000513136841651807
"mean_retweeting_inertia",446,0.694237940674133,0.694648862905679,0.0230274155491643,0.80906362902274
"root_followers",446,407117.038910506,47478.7142857143,-0.236735113597351,0.0133243149874908
"time_span",446,1.27620596976114,2.02946503010849,0.776079565051892,0.00000000000000000224653306391507
